RENTREE SCOLAIRE;NIVEAU GEOGRAPHIQUE;LIBELLE GEOGRAPHIQUE;NIVEAU D'ENSEIGNEMENT;CLASSE;SECTEUR D'ENSEIGNEMENT;CONTRAT DE L'ETABLISSEMENT;NOMBRE D'ELEVES
2009;REGION;CORSE;PRE-ELEMENTAIRE;GRANDE SECTION;PUBLIC;PUBLIC;2805
2009;REGION;CORSE;ELEMENTAIRE;CP;PRIVE;SOUS CONTRAT;110
2009;REGION;CORSE;ELEMENTAIRE;CP;PUBLIC;PUBLIC;2948
2009;REGION;CORSE;ELEMENTAIRE;CE1;PRIVE;SOUS CONTRAT;114
2009;REGION;CORSE;ELEMENTAIRE;CE1;PUBLIC;PUBLIC;3020
2009;REGION;CORSE;ELEMENTAIRE;CE2;PRIVE;SOUS CONTRAT;136
2009;REGION;CORSE;ELEMENTAIRE;CE2;PUBLIC;PUBLIC;2910
2009;REGION;CORSE;ELEMENTAIRE;CM1;PRIVE;SOUS CONTRAT;133
2009;REGION;CORSE;ELEMENTAIRE;CM1;PUBLIC;PUBLIC;3000
2009;REGION;CORSE;ELEMENTAIRE;CM2;PRIVE;SOUS CONTRAT;145
2009;REGION;CORSE;ELEMENTAIRE;CM2;PUBLIC;PUBLIC;2889
2009;REGION;CORSE;ULIS;ULIS;PUBLIC;PUBLIC;230
2009;REGION;GRAND-EST;PRE-ELEMENTAIRE;TRES PETITE SECTION;PRIVE;HORS CONTRAT;24
2009;REGION;GRAND-EST;PRE-ELEMENTAIRE;TRES PETITE SECTION;PRIVE;SOUS CONTRAT;612
2009;REGION;GRAND-EST;PRE-ELEMENTAIRE;TRES PETITE SECTION;PUBLIC;PUBLIC;7537
2009;REGION;GRAND-EST;PRE-ELEMENTAIRE;PETITE SECTION;PRIVE;HORS CONTRAT;38
2009;REGION;GRAND-EST;PRE-ELEMENTAIRE;PETITE SECTION;PRIVE;SOUS CONTRAT;2926
2009;REGION;GRAND-EST;PRE-ELEMENTAIRE;PETITE SECTION;PUBLIC;PUBLIC;61161
2009;REGION;GRAND-EST;PRE-ELEMENTAIRE;MOYENNE SECTION;PRIVE;HORS CONTRAT;67
2009;REGION;GRAND-EST;PRE-ELEMENTAIRE;MOYENNE SECTION;PRIVE;SOUS CONTRAT;3017
2009;REGION;GRAND-EST;PRE-ELEMENTAIRE;MOYENNE SECTION;PUBLIC;PUBLIC;61398
2009;REGION;GRAND-EST;PRE-ELEMENTAIRE;GRANDE SECTION;PRIVE;HORS CONTRAT;71
2009;REGION;GRAND-EST;PRE-ELEMENTAIRE;GRANDE SECTION;PRIVE;SOUS CONTRAT;3197
2009;REGION;GRAND-EST;PRE-ELEMENTAIRE;GRANDE SECTION;PUBLIC;PUBLIC;61440
2009;REGION;GRAND-EST;ELEMENTAIRE;CP;PRIVE;HORS CONTRAT;105
2009;REGION;GRAND-EST;ELEMENTAIRE;CP;PRIVE;SOUS CONTRAT;4192
2009;REGION;GRAND-EST;ELEMENTAIRE;CP;PUBLIC;PUBLIC;61382
2009;REGION;GRAND-EST;ELEMENTAIRE;CE1;PRIVE;HORS CONTRAT;115
2009;REGION;GRAND-EST;ELEMENTAIRE;CE1;PRIVE;SOUS CONTRAT;4325
2009;REGION;GRAND-EST;ELEMENTAIRE;CE1;PUBLIC;PUBLIC;62276
2009;REGION;GRAND-EST;ELEMENTAIRE;CE2;PRIVE;HORS CONTRAT;113
2009;REGION;GRAND-EST;ELEMENTAIRE;CE2;PRIVE;SOUS CONTRAT;4501
2009;REGION;GRAND-EST;ELEMENTAIRE;CE2;PUBLIC;PUBLIC;61537
2009;REGION;GRAND-EST;ELEMENTAIRE;CM1;PRIVE;HORS CONTRAT;114
2009;REGION;GRAND-EST;ELEMENTAIRE;CM1;PRIVE;SOUS CONTRAT;5055
2009;REGION;GRAND-EST;ELEMENTAIRE;CM1;PUBLIC;PUBLIC;62261
2009;REGION;GRAND-EST;ELEMENTAIRE;CM2;PRIVE;HORS CONTRAT;110
2009;REGION;GRAND-EST;ELEMENTAIRE;CM2;PRIVE;SOUS CONTRAT;5320
2009;REGION;GRAND-EST;ELEMENTAIRE;CM2;PUBLIC;PUBLIC;59561
2009;REGION;GRAND-EST;ULIS;ULIS;PRIVE;SOUS CONTRAT;40
2009;REGION;GRAND-EST;ULIS;ULIS;PUBLIC;PUBLIC;3824
2009;REGION;GUADELOUPE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PRIVE;HORS CONTRAT;97
2009;REGION;GUADELOUPE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PRIVE;SOUS CONTRAT;82
2009;REGION;GUADELOUPE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PUBLIC;PUBLIC;694
2009;REGION;GUADELOUPE;PRE-ELEMENTAIRE;PETITE SECTION;PRIVE;HORS CONTRAT;118
2009;REGION;GUADELOUPE;PRE-ELEMENTAIRE;PETITE SECTION;PRIVE;SOUS CONTRAT;486
2009;REGION;GUADELOUPE;PRE-ELEMENTAIRE;PETITE SECTION;PUBLIC;PUBLIC;6210
2009;REGION;GUADELOUPE;PRE-ELEMENTAIRE;MOYENNE SECTION;PRIVE;HORS CONTRAT;124
2009;REGION;GUADELOUPE;PRE-ELEMENTAIRE;MOYENNE SECTION;PRIVE;SOUS CONTRAT;496
2009;REGION;GUADELOUPE;PRE-ELEMENTAIRE;MOYENNE SECTION;PUBLIC;PUBLIC;6746
2009;REGION;GUADELOUPE;PRE-ELEMENTAIRE;GRANDE SECTION;PRIVE;HORS CONTRAT;80
2009;REGION;GUADELOUPE;PRE-ELEMENTAIRE;GRANDE SECTION;PRIVE;SOUS CONTRAT;539
2009;REGION;GUADELOUPE;PRE-ELEMENTAIRE;GRANDE SECTION;PUBLIC;PUBLIC;6526
2009;REGION;GUADELOUPE;ELEMENTAIRE;CP;PRIVE;HORS CONTRAT;103
2009;REGION;GUADELOUPE;ELEMENTAIRE;CP;PRIVE;SOUS CONTRAT;680
2009;REGION;GUADELOUPE;ELEMENTAIRE;CP;PUBLIC;PUBLIC;6538
2009;REGION;GUADELOUPE;ELEMENTAIRE;CE1;PRIVE;HORS CONTRAT;116
2009;REGION;GUADELOUPE;ELEMENTAIRE;CE1;PRIVE;SOUS CONTRAT;678
2009;REGION;GUADELOUPE;ELEMENTAIRE;CE1;PUBLIC;PUBLIC;6607
2009;REGION;GUADELOUPE;ELEMENTAIRE;CE2;PRIVE;HORS CONTRAT;107
2009;REGION;GUADELOUPE;ELEMENTAIRE;CE2;PRIVE;SOUS CONTRAT;679
2009;REGION;GUADELOUPE;ELEMENTAIRE;CE2;PUBLIC;PUBLIC;6781
2009;REGION;GUADELOUPE;ELEMENTAIRE;CM1;PRIVE;HORS CONTRAT;121
2009;REGION;GUADELOUPE;ELEMENTAIRE;CM1;PRIVE;SOUS CONTRAT;715
2009;REGION;GUADELOUPE;ELEMENTAIRE;CM1;PUBLIC;PUBLIC;6726
2009;REGION;GUADELOUPE;ELEMENTAIRE;CM2;PRIVE;HORS CONTRAT;105
2009;REGION;GUADELOUPE;ELEMENTAIRE;CM2;PRIVE;SOUS CONTRAT;677
2009;REGION;GUADELOUPE;ELEMENTAIRE;CM2;PUBLIC;PUBLIC;6552
2009;REGION;GUADELOUPE;ULIS;ULIS;PRIVE;HORS CONTRAT;10
2009;REGION;GUADELOUPE;ULIS;ULIS;PRIVE;SOUS CONTRAT;69
2009;REGION;GUADELOUPE;ULIS;ULIS;PUBLIC;PUBLIC;540
2009;REGION;GUYANE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PRIVE;SOUS CONTRAT;16
2009;REGION;GUYANE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PUBLIC;PUBLIC;45
2009;REGION;GUYANE;PRE-ELEMENTAIRE;PETITE SECTION;PRIVE;SOUS CONTRAT;233
2009;REGION;GUYANE;PRE-ELEMENTAIRE;PETITE SECTION;PUBLIC;PUBLIC;3900
2009;REGION;GUYANE;PRE-ELEMENTAIRE;MOYENNE SECTION;PRIVE;SOUS CONTRAT;270
2009;REGION;GUYANE;PRE-ELEMENTAIRE;MOYENNE SECTION;PUBLIC;PUBLIC;4693
2009;REGION;GUYANE;PRE-ELEMENTAIRE;GRANDE SECTION;PRIVE;SOUS CONTRAT;256
2009;REGION;GUYANE;PRE-ELEMENTAIRE;GRANDE SECTION;PUBLIC;PUBLIC;4879
2009;REGION;GUYANE;ELEMENTAIRE;CP;PRIVE;SOUS CONTRAT;378
2009;REGION;GUYANE;ELEMENTAIRE;CP;PUBLIC;PUBLIC;5311
2009;REGION;GUYANE;ELEMENTAIRE;CE1;PRIVE;SOUS CONTRAT;326
2009;REGION;GUYANE;ELEMENTAIRE;CE1;PUBLIC;PUBLIC;5721
2009;REGION;GUYANE;ELEMENTAIRE;CE2;PRIVE;SOUS CONTRAT;350
2009;REGION;GUYANE;ELEMENTAIRE;CE2;PUBLIC;PUBLIC;4870
2009;REGION;GUYANE;ELEMENTAIRE;CM1;PRIVE;SOUS CONTRAT;329
2009;REGION;GUYANE;ELEMENTAIRE;CM1;PUBLIC;PUBLIC;4875
2009;REGION;GUYANE;ELEMENTAIRE;CM2;PRIVE;SOUS CONTRAT;328
2009;REGION;GUYANE;ELEMENTAIRE;CM2;PUBLIC;PUBLIC;4586
